開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
兩院	lêng5 yun6	
兩院制	lêng5 yun6 zei3	
兩仔乸	lêng5 zei2 na2	母子倆，娘兒倆
兩仔爺	lêng5 zei2 yé4	父子倆，兩父子
兩袖清風	lêng5 zeo6 qing1 fung1	
兩者	lêng5 zé2	
兩者缺一不可	lêng5 zé2 küd3 yed1 bed1 ho2	
量產	lêng6 can2	
踉蹌	lêng6 cêng3	
諒解	lêng6 gai2	
亮光	lêng6 gwong1	
量力	lêng6 lig6	
量力而行	lêng6 lig6 yi4 heng4	
量力而為	lêng6 lig6 yi4 wei4	
量詞	lêng6 qi4	
量入為出	lêng6 yeb6 wei4 cêd1	
騾	lêu4	騾子
雷達	lêu4 dad6	
雷達網	lêu4 dad6 mong5	
雷達站	lêu4 dad6 zam6	
雷電	lêu4 din6	
雷擊	lêu4 gig1	
雷管	lêu4 gun2	
雷公	lêu4 gung1	
雷轟	lêu4 gweng1	
雷轟電閃	lêu4 gweng1 din6 xim2	
驢駒	lêu4 kêu1	
雷厲風行	lêu4 lei6 fung1 heng4	
騾馬	lêu4 ma5	
雷鳴	lêu4 ming4	
雷劈	lêu4 pég3	
雷射	lêu4 sé6	
雷射槍	lêu4 sé6 cêng1	
雷聲	lêu4 séng1	
雷霆	lêu4 ting4	
雷霆萬鈞之勢	lêu4 ting4 man6 gwen1 ji1 sei3	
雷同	lêu4 tung4	
雷雲	lêu4 wen4	
雷聲大雨點小	lêu4 xing1 dai6 yu5 dim2 xiu2	
嫘縈	lêu4 ying4	
雷雨	lêu4 yu5	
驢仔	lêu4 zei2	苦工
雷陣雨	lêu4 zen6 yu5	
屢敗屢戰	lêu5 bai6 lêu5 jin3	
裏便	lêu5 bin6	裡面，裡邊，裡頭
裏底	lêu5 dei2	裡面，裡邊，裡頭
屢教不改	lêu5 gao3 bed1 goi2	
屢見不鮮	lêu5 gin3 bed1 xin1	
屢建奇功	lêu5 gin3 kéi4 gung1	
旅館	lêu5 gun2	
旅客	lêu5 hag3	
旅行	lêu5 heng4	
旅行團	lêu5 heng4 tün4	
屢勸不聽	lêu5 hün3 bed1 ting1	
累積	lêu5 jig1	
屢戰屢敗	lêu5 jin3 lêu5 bai6	
壘球	lêu5 keo4	
壘球隊	lêu5 keo4 dêu6	
壘球棒	lêu5 keo4 pang5	
壘球員	lêu5 keo4 yun4	
膂力	lêu5 lig6	
膂力過人	lêu5 lig6 gwo3 yen4	
磊落	lêu5 log6	
屢屢	lêu5 lêu5	
裡面	lêu5 min6	
屢次	lêu5 qi3	
旅程	lêu5 qing4	
女首富	lêu5 seo2 fu3	
壘上	lêu5 sêng6	
壘上無人	lêu5 sêng6 mou4 yen4	
壘上有人	lêu5 sêng6 yeo5 yen4	
旅途	lêu5 tou4	
屢試不爽	lêu5 xi3 bed1 song2	
旅遊	lêu5 yeo4	
旅遊巴士	lêu5 yeo4 ba1 xi2	
旅遊巴士司機	lêu5 yeo4 ba1 xi2 xi1 géi1	
旅遊團隊	lêu5 yeo4 tün4 dêu6	
旅遊業	lêu5 yeo4 yib6	
累贅	lêu5 zêu3	
類別	lêu6 bid6	
濾出	lêu6 cêd1	
濾紙	lêu6 ji2	
類似	lêu6 qi5	
累死	lêu6 séi2	害死，陷害
淚水	lêu6 sêu2	
濾色鏡	lêu6 xig1 géng3	
濾液	lêu6 yig6	
濾嘴	lêu6 zêu2	
劣品	lüd3 ben2	
劣等	lüd3 deng2	
劣等品	lüd3 deng2 ben2	
劣根	lüd3 gen1	
劣根性	lüd3 gen1 xing3	
劣勢	lüd3 sei3	
劣性	lüd3 xing3	
劣質	lüd3 zed1	
攣	lün1	彎，彎曲
攣捐	lün1 gün1	彎彎曲曲
攣曲	lün1 kug1	彎曲
攣毛	lün1 mou1	鬈髮
戀舊	lün2 geo6	
臠割	lün2 god3	
亂龍	lün2 lung4	亂，亂了套，亂七八糟
亂嚟	lün2 léi4	胡來，亂來
戀戀不捨	lün2 lün2 bed1 sé2	
戀物	lün2 med6	
戀慕	lün2 mou6	
亂諗	lün2 nem2	亂想
戀愛	lün2 oi3	
戀情	lün2 qing4	
戀糖	lün2 tong2	黏糖
戀人	lün2 yen4	
戀棧	lün2 zan6	
聯	lün4	縫
聯邦	lün4 bong1	
聯邦政府	lün4 bong1 jing3 fu2	
聯邦制	lün4 bong1 zei3	
聯賽	lün4 coi3	
聯合國	lün4 heb6 gwog3	
聯繫	lün4 hei6	
聯系	lün4 hei6	
聯絡	lün4 log3	
聯袂	lün4 mei6	
聯袂飾演	lün4 mei6 xig1 yin2	
聯盟	lün4 meng4	
聯衫	lün4 sam1	縫衣服
孿生	lün4 seng1	
孿生兄弟	lün4 seng1 hing1 dei6	
聯誼	lün4 yi4	
亂扠	lün6 ca5	亂塗
亂抄	lün6 cao3	亂翻
亂七八糟	lün6 ced1 bad3 zou1	
亂闖	lün6 cong2	
亂車	lün6 cé1	胡吹，瞎扯，胡說
亂車廿四	lün6 cé1 ya6 séi3	亂吹一氣，瞎扯一通
亂打	lün6 da2	
亂動	lün6 dung6	
亂趯	lün6 dég3	亂跑
亂髮	lün6 fad3	
亂揈	lün6 fing6	揮霍，亂花錢
亂揈錢	lün6 fing6 qin2	揮霍，亂花錢
亂咁舂	lün6 gem3 zung1	亂闖，亂碰亂躥，到處亂躥躥
亂講嘢	lün6 gong2 yé5	胡說八道
亂估	lün6 gu2	亂猜，瞎猜
亂軍	lün6 gwen1	
亂立立	lün6 leb6 leb6	亂糟糟
亂流	lün6 leo4	
亂來	lün6 loi4	
亂倫	lün6 lên4	
亂碼	lün6 ma5	
亂諗嘢	lün6 nem2 yé5	胡思亂想
亂噏	lün6 ngeb1	胡說，亂說
亂噏廿四	lün6 ngeb1 ya6 séi3	胡說八道
亂噏嘢	lün6 ngeb1 yé5	亂說話
亂爬	lün6 pa4	
亂晒大龍	lün6 sai3 dai6 lung4	亂七八糟
亂晒坑	lün6 sai3 hang1	亂，亂了套，亂七八糟
亂世	lün6 sei3	
亂世佳人	lün6 sei3 gai1 yen4	
亂臣	lün6 sen4	
亂寫	lün6 sé2	
亂食嘢	lün6 xig6 yé5	亂吃東西
亂成一團	lün6 xing4 yed1 tün4	
亂用	lün6 yung6	
亂真	lün6 zen1	
亂作一團	lün6 zog3 yed1 tün4	
亂撞	lün6 zong6	亂闖
亂象	lün6 zêng6	
唔	m4	不
唔錯	m4 co3	不錯
唔睬佢	m4 coi2 kêu5	不理他
唔出聲	m4 cêd1 séng1	不吭聲
唔打得都睇得	m4 da2 deg1 dou1 tei2 deg1	中看不中用
唔搭界	m4 dab3 gai3	沒關係
唔單止	m4 dan1 ji2	不但
唔單止噉	m4 dan1 ji2 gem2	不僅如此，不但如此
唔得	m4 deg1	不行
唔得掂	m4 deg1 dim6	不得了，不可收拾
唔得閒	m4 deg1 han4	忙，沒空
唔得切	m4 deg1 qid3	來不及
唔抵	m4 dei2	不值得，不划算
唔抵幫	m4 dei2 bong1	不值得幫忙
唔等使	m4 deng2 sei2	不切實際的，無關緊要的，無濟於事的，用不上的，用不著的，沒用的，不頂用的，無益的
唔掂	m4 dim6	不行，不妥
唔掂諗到掂為止	m4 dim6 lem2 dou3 dim6 wei4 ji2	有事好商量
唔定	m4 ding2	說不定
唔多	m4 do1	不多
唔到你	m4 dou3 néi5	輪不到你，不能由你
唔到你唔…	m4 dou3 néi5 m4	不由得你不…
唔道德	m4 dou6 deg1	不道德
唔對路	m4 dêu3 lou6	不對勁，不對頭
唔化	m4 fa3	固執，不開通，不覺醒，食古不化
唔化算	m4 fa3 xun3	划不來，不划算，不合算
唔發市	m4 fad3 xi5	沒人光顧
唔忿氣	m4 fen6 héi3	不服氣
唔方便	m4 fong1 bin6	不方便
唔合	m4 gab3	合不來
唔計帶	m4 gei3 dai3	不在意，不介意，不計較
唔敢	m4 gem2	不敢
唔緊要	m4 gen2 yiu3	不要緊，不重要
唔夠	m4 geo3	不夠
唔夠埞方	m4 geo3 déng6 fong1	地方不夠
唔夠瞓	m4 geo3 fen3	睡眠不足，沒睡好，睡不夠
唔夠quali	m4 geo3 ko1 li2	不夠格，沒有資格
唔夠佢打	m4 geo3 kêu5 da2	打不過他
唔夠佢鬥	m4 geo3 kêu5 deo3	鬥不過他
唔夠佢嚟	m4 geo3 kêu5 léi4	比不過他，比不上他
唔夠佢爭	m4 geo3 kêu5 zang1	搶不過他
唔夠力	m4 geo3 lig6	力氣不夠
唔夠攝牙罅	m4 geo3 xib3 nga4 la3	不夠塞牙縫兒，不夠塞牙縫的
唔見得光	m4 gin3 deg1 gwong1	見不得光
唔見得人	m4 gin3 deg1 yen4	見不得人
唔見咗	m4 gin3 zo2	不見了
唔經唔覺	m4 ging1 m4 gog3	不知不覺
唔覺眼	m4 gog3 ngan5	沒注意，沒留意，沒注意到
唔覺意	m4 gog3 yi3	沒留意，不留神，不小心
唔該	m4 goi1	謝謝，有勞
唔該晒	m4 goi1 sai3	謝謝，有勞
唔該借歪	m4 goi1 zé3 mé2	借光，借過一下
唔高興	m4 gou1 hing3	不高興
唔公平	m4 gung1 ping4	不公平
唔怪乎	m4 gwai3 fu4	怪不得，難怪
唔怪之得	m4 gwai3 ji1 deg1	怪不得，難怪
唔關我事	m4 gwan1 ngo5 xi6	與我無關
唔關你事	m4 gwan1 néi5 xi6	事情跟你無關
唔關事	m4 gwan1 xi6	跟這沒關系
唔關…事	m4 gwan1 xi6	與…無關，跟…無關，跟…沒有關系
唔記得	m4 géi3 deg1	忘記，不記得
唔記得咗	m4 géi3 deg1 zo2	忘了
唔鹹唔淡	m4 ham4 m4 tam5	有口音，不標準
唔行得開	m4 hang4 deg1 hoi1	走不開，離不開
唔行得埋	m4 hang4 deg1 mai4	合不来
唔合法	m4 heb6 fad3	不合法
唔合理	m4 heb6 léi5	不合理
唔合適	m4 heb6 xig1	不合適
唔喺度	m4 hei2 dou6	不在
唔喺度	m4 hei2 dou6	去世
唔喺屋企	m4 hei2 ngug1 kéi2	不在家
唔係	m4 hei6	不是
唔係呀嘛	m4 hei6 a3 ma3	真的嗎？
唔係呀話	m4 hei6 a3 wa2	不會吧？
唔係噉話	m4 hei6 gem2 wa2	哪裡，哪裡
唔係噉話，你過獎喇	m4 hei6 gem2 wa2 néi5 gwo3 zêng2 la3	哪裡，哪裡，你過獎了
唔係啩	m4 hei6 gwa3	不是吧
唔係嘅話	m4 hei6 gé3 wa6	不然的話，要不，否則，要不然
唔係幾	m4 hei6 géi2	不大…，不怎麼…
唔係幾似	m4 hei6 géi2 qi5	不大像，不怎麼像
唔係好合	m4 hei6 hou2 gab3	不大合得來
唔係路	m4 hei6 lou6	不對勁兒，不對頭，有問題
唔興	m4 hing1	不流行，不時興
唔可能	m4 ho2 neng4	不可能
唔可以	m4 ho2 yi5	不可以
唔開心	m4 hoi1 sem1	不開心
唔開胃	m4 hoi1 wei6	倒胃口，吃不下，胃口不好，討厭，不順眼
唔好	m4 hou2	不好
唔好睇	m4 hou2 tei2	不好看
唔好聽	m4 hou2 téng1	不好聽
唔好食	m4 hou2 xig6	不好吃
唔好飲	m4 hou2 yem2	不好喝
唔好意頭	m4 hou2 yi3 teo4	不吉利
唔好意思	m4 hou2 yi3 xi3	不好意思
唔响度	m4 hêng2 dou6	不在，不在這裡，不在那裡
唔知	m4 ji1	不知道
唔知醜	m4 ji1 ceo2	沒羞，沒羞沒臊
唔知道	m4 ji1 dou6	不知道
唔知好醜	m4 ji1 hou2 ceo2	不知好歹
唔知死	m4 ji1 séi2	不知天高地厚，不知道利害，不懂得事情危急
唔止	m4 ji2	不但，不光是
唔止…仲…	m4 ji2 zung6	不但…還…
唔止…仲…添	m4 ji2 zung6 tim1	不但…還…
唔至於	m4 ji3 yu1	不至於
唔志在	m4 ji3 zoi6	不在乎
唔值得	m4 jig6 deg1	不值得
唔正常	m4 jing3 sêng4	不正常
唔禁	m4 kem1	不耐久，不耐用，不結實
唔禁等	m4 kem1 deng2	禁不起等
唔禁著	m4 kem1 zêg3	不耐穿
唔近	m4 ken5	不近
唔落得手	m4 log6 deg1 seo2	下不了手
唔撈	m4 lou1	不幹了，辭職
唔理	m4 léi5	不管，不理
唔論	m4 lên6	不論
唔明	m4 ming4	不懂
唔挐耕	m4 na1 gang1	毫不相干，毫無關係，不著邊際，一點兒也不沾邊
唔難	m4 nan4	不難
唔能	m4 neng4	不能
唔啱	m4 ngam1	不對
唔啱傾	m4 ngam1 king1	談不攏
唔啱數	m4 ngam1 sou3	數目不對
唔啱咀形	m4 ngam1 zêu2 ying4	合不來
唔安樂	m4 ngon1 log6	心裡不安，心裡不舒暢，不放心
唔耐	m4 noi6	不久
唔耐煩	m4 noi6 fan4	不耐煩
唔安全	m4 on1 qun4	不安全
唔怕	m4 pa3	不怕
唔怕醜	m4 pa3 ceo2	不害羞
唔似	m4 qi5	不像
唔似樣	m4 qi5 yêng2	不像樣，不像話
唔切	m4 qid3	來不及
唔清楚	m4 qing1 co2	不清楚
…唔晒	m4 sai3	…不完
唔生性	m4 sang1 xing3	不懂事，沒出息
唔實際	m4 sed6 zei3	不實際
唔使	m4 sei2	不用，不需要
唔使慌	m4 sei2 fong1	不要怕
唔使咁火滾	m4 sei2 gem3 fo2 gwen2	用不著那麼生氣
唔使咁謙噃	m4 sei2 gem3 him1 bo3	不用那麼謙虛啦
唔使講	m4 sei2 gong2	不用說，用不著說，不用提，不必說了
唔使驚	m4 sei2 géng1	不要怕，別怕，別害怕
唔使客氣	m4 sei2 hag3 héi3	不用客氣，別客氣
唔使指擬	m4 sei2 ji2 yi5	別指望，別癡心妄想
唔使唔該	m4 sei2 m4 goi1	不謝
唔使問阿貴	m4 sei2 men6 a3 gwei3	還用問？
唔使送呀	m4 sei2 sung3 a3	不用送了
唔使一陣	m4 sei2 yed1 zen6	不久
唔使憂	m4 sei2 yeo1	不用擔心，不用擔憂，用不著操心
唔使做	m4 sei2 zou6	不用工作了
唔受得	m4 seo6 deg1	受不了
唔捨得	m4 sé2 deg1	捨不得
唔聲	m4 séng1	不說話
唔信	m4 sên3	不相信
唔相信	m4 sêng1 sên3	不相信
唔想	m4 sêng2	不想
唔衰得	m4 sêu1 deg1	好勝，不服輸
唔衰攞嚟衰	m4 sêu1 lo2 léi4 sêu1	沒事找事，自討苦吃，自找麻煩
唔需要	m4 sêu1 yiu3	不需要
唔通	m4 tung1	難道，莫非
唔通氣	m4 tung1 héi3	不知趣，不識趣
唔通…咩	m4 tung1 mé1	難道…嗎
唔同	m4 tung4	不同，不一樣
唔同意	m4 tung4 yi3	不同意
唔話得	m4 wa6 deg1	沒什麼說的，無可挑剔，難得，沒說的
唔為得過	m4 wei4 deg1 gwo3	划不來
唔會	m4 wui5	不會
唔會啩	m4 wui5 gwa3	不會吧
唔會嘅	m4 wui5 gé3	不會的
唔識	m4 xig1	不會
唔識	m4 xig1	不認識
唔識佢	m4 xig1	不認識他
唔識唱歌	m4 xig1 cêng3 go1	不會唱歌
唔識字	m4 xig1 ji6	不識字
唔識轉彎	m4 xig1 jun2 wan1	不靈活，不會拐彎
唔識路	m4 xig1 lou6	不認識路
唔識死	m4 xig1 séi2	不知天高地厚，不知道利害，不懂得事情危急
唔識衰	m4 xig1 sêu1	不知好歹
唔識睇	m4 xig1 tei2	看不懂
唔識聽	m4 xig1 téng1	聽不懂
唔食力	m4 xig6 lig6	吃不住勁
唔食雜	m4 xig6 zab6	不吃葷
唔少	m4 xiu2	不少
唔少得	m4 xiu2 deg1	少不了，少不得
唔小心	m4 xiu2 sem1	不小心
唔舒服	m4 xu1 fug6	不舒服
唔一定	m4 yed1 ding6	不一定
唔憂	m4 yeo1	不愁
唔憂食，唔憂著	m4 yeo1 xig6 m4 yeo1 zêg3	不愁吃，不愁穿
唔易做	m4 yi6 zou6	不好辦
唔應該	m4 ying1 goi1	不應該
唔認得	m4 ying6 deg1	認不得
唔認數	m4 ying6 sou3	不認帳
唔要	m4 yiu3	不要
唔要得	m4 yiu3 deg1	要不得
唔喐得	m4 yug1 deg1	動不了，不能動
唔容易	m4 yung4 yi6	不容易
唔習慣	m4 zab6 gwan3	不習慣
唔盞	m4 zan2	不好
唔制	m4 zei3	不願意，不幹
唔制得過	m4 zei3 deg1 gwo3	划不來，不划算
唔走得	m4 zeo2 deg1	跑不了，不能走
唔…就假	m4 zeo6 ga2	不…才怪呢
唔…就假嘅	m4 zeo6 ga2 gé3	不…才怪呢
唔…就有鬼	m4 zeo6 yeo5 gwei2	不…才怪呢
唔…就有鬼囉	m4 zeo6 yeo5 gwei2 lo3	不…那就很奇怪
唔在講	m4 zoi6 gong2	不但，不用說，不消說
唔做	m4 zou6	不幹
唔鍾意	m4 zung1 yi3	不喜歡
唔中用	m4 zung1 yung6	不管用，不頂用，不中用，不行，無能
唔重要	m4 zung6 yiu3	不重要
唔准	m4 zên2	不准
孖	ma1	雙
孖辮	ma1 bin1	辮子，雙辮
嗎啡	ma1 fé1	
孖展	ma1 jin2	商人
媽媽	ma1 ma1	
媽媽聲	ma1 ma1 séng1	罵娘，罵街，說粗話，罵起來
媽咪	ma1 mi3	媽媽
孖女	ma1 nêu2	孿生姐妹，雙胞胎姐妹
孖鋪	ma1 pou1	兩人同睡一床
孖生	ma1 sang1	孿生，雙生
孖仔	ma1 zei2	孿生子，孿生兄弟
媽姐	ma2 zé2	女傭人
嬤	ma4	奶奶，祖母
麻煩	ma4 fan4	
麻煩晒	ma4 fan4 sai3	真是太麻煩您了
麻風	ma4 fung1	
麻鬼煩	ma4 gwei2 fan4	很麻煩，麻煩著呢，真他媽的麻煩
麻甩	ma4 led1	麻雀
麻甩佬	ma4 led1 lou2	缺德鬼，王八蛋，色鬼
麻甩仔	ma4 led1 zei2	小色鬼
麻叻	ma4 lég1	精明能幹
麻利	ma4 léi6	精明能幹
嘛嘛	ma4 ma2	不怎麼樣，勉強可以，質量不高
嘛嘛哋	ma4 ma2 déi2	馬馬虎虎，差不多，湊合，勉強過得去
嘛嘛啫	ma4 ma2 zé1	不怎麼樣
嬤嬤	ma4 ma4	奶奶
麻木	ma4 mug6	
麻石	ma4 ség6	花崗岩，花崗石
麻繩	ma4 xing4	
蔴油	ma4 yeo4	香油，芝蔴油
麻鷹	ma4 ying1	老鷹
麻疹	ma4 zen2	
麻雀	ma4 zêg3	麻將
麻雀	ma4 zêg3	
馬不停蹄	ma5 bed1 ting4 tei4	
馬鞭	ma5 bin1	
馬步	ma5 bou6	
馬背	ma5 bui3	
馬轡	ma5 béi3	
馬賊	ma5 cag6	
馬賽克	ma5 coi3 heg1	
馬槽	ma5 cou4	
馬車	ma5 cé1	
馬車賽	ma5 cé1 coi3	
馬鐙	ma5 deng3	
馬到成功	ma5 dou3 xing4 gung1	
馬房	ma5 fong4	
馬夫	ma5 fu1	
馬伕	ma5 fu1	皮條客，老鴇
馬虎	ma5 fu2	
馬褲	ma5 fu3	
馬蜂	ma5 fung1	
馬甲	ma5 gab3	
馬革裹屍	ma5 gag3 gwo2 xi1	
馬廄	ma5 geo3	
馬褂	ma5 gwa3	
馬具	ma5 gêu6	
馬克思主義	ma5 heg1 xi1 ju2 yi6	
馬克思主義者	ma5 heg1 xi1 ju2 yi6 zé2	
馬克思列寧主義	ma5 heg1 xi1 lid6 ning4 ju2 yi6	
馬戲團	ma5 héi3 tün4	
馬靴	ma5 hê1	
馬駒	ma5 kêu1	
馬拉松	ma5 lai1 cung4	
馬騮	ma5 leo1	猴子
馬騮精	ma5 leo1 jing1	調皮的小孩
馬騮仔	ma5 leo1 zei2	小猴子
馬列主義	ma5 lid6 ju2 yi6	
馬力	ma5 lig6	
馬鈴薯	ma5 ling4 xu4	
馬來人	ma5 loi4 yen4	
馬來語	ma5 loi4 yu5	
馬螂狂	ma5 long4 kwong4	螳螂
馬路	ma5 lou6	
馬路如虎口	ma5 lou6 yu4 fu2 heo2	
馬馬虎虎	ma5 ma5 fu2 fu2	
馬尾	ma5 méi5	
馬軛	ma5 ngag1	
螞蟻	ma5 ngei5	
瑪瑙	ma5 nou5	
馬鞍	ma5 on1	
馬鞍形	ma5 on1 ying4	
馬棚	ma5 pang4	
馬匹	ma5 ped1	
馬屁	ma5 péi3	
馬屁大王	ma5 péi3 dai6 wong4	
馬屁精	ma5 péi3 jing1	
馬蝨	ma5 sed1	
馬術	ma5 sêd6	
馬上	ma5 sêng6	
馬蹄	ma5 tei2	荸薺
馬蹄	ma5 tei4	
馬蹄粉	ma5 tei4 fen2	荸薺粉
馬蹄聲	ma5 tei4 séng1	
馬蹄鐵	ma5 tei4 tid3	
馬蹄形	ma5 tei4 ying4	
碼頭	ma5 teo4	
馬頭魚	ma5 teo4 yu4	
馬桶	ma5 tung2	
馬桶蓋	ma5 tung2 goi3	
馬蟥	ma5 wong4	
螞蟥	ma5 wong4	
馬醫	ma5 yi1	
馬蠅	ma5 ying4	
馬肉	ma5 yug6	
馬仰人翻	ma5 yêng5 yen4 fan1	
馬仔	ma5 zei2	小馬，馬駒子，小馬駒
馬仔	ma5 zei2	狗腿子，打手，爪牙
馬鬃	ma5 zung1	
馬掌	ma5 zêng2	
罵人	ma6 yen4	
抹	mad3	擦
抹窗口	mad3 cêng1 heo2	擦玻璃，擦窗子
抹地	mad3 déi6	擦地板
抹乾淨	mad3 gon1 zéng6	擦乾淨
抹乾淨個面	mad3 gon1 zéng6 go3 min6	把臉擦乾淨
抹面	mad3 min6	擦臉，洗臉
抹身	mad3 sen1	擦身
抹手	mad3 seo2	擦手
抹枱	mad3 toi2	擦桌子
抹枱布	mad3 toi2 bou3	擦桌布，抹布，搌布
抹枱布	mad3 toi2 bou3	擦桌布，抹布
抹一額汗	mad3 yed1 ngag6 hon6	捏一把汗
抹咗一額汗	mad3 zo2 yed1 ngag6 hon6	捏了一把汗
擘	mag3	張，張開
擘髀	mag3 béi2	張開雙腿
擘大	mag3 dai6	張大
擘大個口	mag3 dai6 go3 heo2	張大嘴巴，張著嘴巴
擘大個口得個窿	mag3 dai6 go3 heo2 deg1 go3 lung1	張口結舌，啞口無言，瞠目結舌
擘大口	mag3 dai6 heo2	張開嘴巴
擘大口得個窿	mag3 dai6 heo2 deg1 go3 lung1	張口結舌，啞口無言，瞠目結舌
擘大喉嚨嗌	mag3 dai6 heo4 lung4 ngai3	扯開嗓門拼命喊
擘大眼	mag3 dai6 ngan5	睜著眼，瞪著眼，睜開雙眼，看清楚點
擘大眼講大話	mag3 dai6 ngan5 gong2 dai6 wa6	睜眼說瞎話，睜著眼睛說謊
擘開	mag3 hoi1	張開
擘開個口	mag3 hoi1 go3 heo2	張開嘴
擘開兩隻腳	mag3 hoi1 lêng5 zég3 gêg3	叉開腿，叉開雙腿
擘開兩隻手指	mag3 hoi1 lêng5 zég3 seo2 ji2	張開兩個手指
擘梯	mag3 tei1	人字梯
擘一字	mag3 yed1 ji6	劈叉
埋	mai4	靠近，靠攏
埋便	mai4 bin6	裡面，裡頭，裡邊，裡邊兒，靠裡頭，儘裡邊兒
埋單	mai4 dan1	結賬，買單，買賬，會賬
埋堆	mai4 dêu1	扎堆，合群，結伙，湊在一起，合在一處，聚在一起，湊在一塊兒
埋堆	mai4 dêu1	扎堆
埋伏	mai4 fug6	
埋去	mai4 hêu3	走過去，靠前去，靠上去，過去
埋席	mai4 jig6	入席，就位，入座，就座，就席
埋嚟	mai4 léi4	過來，靠過來，靠前來，上前來
埋尾	mai4 méi5	收尾，結尾，煞尾，結束
埋岸	mai4 ngon3	靠岸
埋身	mai4 sen1	靠近，迫近
埋手	mai4 seo2	下手，入手
埋數	mai4 sou3	算帳，結算，結帳
埋頭	mai4 teo4	船靠岸
埋位	mai4 wei2	入席，就位，入座，就座，就席
埋怨	mai4 yun3	
埋閘	mai4 zab6	店舖關門
埋葬	mai4 zong3	
買樓	mai5 leo2	買公寓
買唔到飛	mai5 m4 dou2 féi1	買不到票
買賣	mai5 mai6	
買屋	mai5 ngug1	買房子
買衫	mai5 sam1	買衣服
買餸	mai5 sung3	買菜
買燕梳	mai5 yin3 so1	投保險，買保險
買嘢	mai5 yé5	買東西
買紮花	mai5 zad3 fa1	買束花
賣白粉	mai6 bag6 fen2	販賣毒品
賣出	mai6 cêd1	
賣花讚花香	mai6 fa1 zan3 fa1 hêng1	王婆賣瓜，自賣自誇
賣埠	mai6 feo6	出口，賣出
賣貨員	mai6 fo3 yun4	售貨員
賣告白	mai6 gou3 bag6	登廣告
賣鹹鴨蛋	mai6 ham4 ngab3 dan6	去世，過世
賣口乖	mai6 heo2 gwai1	耍嘴皮，說得好聽，說好聽的話
賣晒	mai6 sai3	賣光
摱	man1	扣
摱雞	man1 gei1	扣扳機
慢下手	man2 ha5 seo2	很可能，弄不好，萬一
蠻荒	man4 fong1	
蠻勁	man4 ging3	
蠻幹	man4 gon3	
蠻幹到底	man4 gon3 dou3 dei2	
蠻力	man4 lig6	
鰻鱺	man4 léi4	
蠻牛	man4 ngeo4	
饅頭	man4 teo4	
蠻橫	man4 wang6	
蠻橫無理	man4 wang6 mou4 léi5	
蠻人	man4 yen4	
蠻夷	man4 yi4	
蠻勇	man4 yung5	
蠻族	man4 zug6	
晚飯	man5 fan6	
晚晚	man5 man5	每天晚上
晚上	man5 sêng6	
萬般	man6 ban1	
萬般皆下品，唯有讀書高	man6 ban1 gai1 ha6 ben2 wei4 yeo5 dug6 xu1 gou1	
萬不得已	man6 bed1 deg1 yi5	
萬變不離其宗	man6 bin3 bed1 léi4 kéi4 zung1	
慢半拍	man6 bun3 pag3	
慢速	man6 cug1	
慢速度	man6 cug1 dou6	
慢車	man6 cé1	
慢車道	man6 cé1 dou6	
慢動作	man6 dung6 zog3	
萬端	man6 dün1	
萬花筒	man6 fa1 tung2	
萬分	man6 fen1	
萬分感激	man6 fen1 gem2 gig1	
萬夫不當	man6 fu1 bed1 dong1	
萬夫莫敵	man6 fu1 mog6 dig6	
萬家燈火	man6 ga1 deng1 fo2	
萬家生佛	man6 ga1 seng1 fed6	
萬劫不復	man6 gib3 bed1 fug6	
萬古	man6 gu2	
萬古流芳	man6 gu2 leo4 fong1	
萬古長青	man6 gu2 qing1	
萬貫	man6 gun3	
萬貫家財	man6 gun3 ga1 coi4	
萬鈞	man6 gwen1	
萬鈞之力	man6 gwen1 ji1 lig6	
萬國	man6 gwog3	
萬國公法	man6 gwog3 gung1 fad3	
萬幾蚊	man6 géi2 men1	一萬多塊
慢鏡頭	man6 géng3 teo4	
萬紫千紅	man6 ji2 qin1 hung4	
萬字夾	man6 ji6 gab2	回紋針，迴文針，曲別針
萬箭穿身	man6 jin3 qun1 sem1	
慢住	man6 ju6	且慢，慢著
萬頃碧波	man6 king2 big1 bo1	
萬籟	man6 lai6	
萬籟俱寂	man6 lai6 kêu1 jig1	
萬曆	man6 lig6	
萬靈丹	man6 ling4 dan1	
萬靈藥	man6 ling4 yêg6	
萬綠叢中一點紅	man6 lug6 cung4 zung1 yed1 dim2 hung4	
萬里長征	man6 léi5 cêng4 jing1	
萬里長城	man6 léi5 cêng4 xing4	
萬馬奔騰	man6 ma5 ben1 teng4	
謾罵	man6 ma6	
慢慢行	man6 man1 hang4	慢走，走好，請慢走
慢慢食	man6 man1 xig6	請慢慢吃
萬萬	man6 man6	
萬萬不可	man6 man6 bed1 ho2	
慢慢吞吞	man6 man6 ten1 ten1	
萬物	man6 med6	
萬物之靈	man6 med6 ji1 ling4	
漫無目的	man6 mou4 mug6 dig1	
萬無一失	man6 mou4 yed1 sed1	
萬能	man6 neng4	
萬念俱灰	man6 nim6 kêu1 fui1	
