开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
整鬼整怪	jing2 gwei2 jing2 gwai3	做鬼脸，故意出洋相，做小动作
整鬼整马	jing2 gwei2 jing2 ma5	搞什么鬼
整资料	jing2 ji1 liu6	整理资料，整理数据
整治	jing2 ji6	
整整吓	jing2 jing2 ha5	慢慢地
井井有条	jing2 jing2 yeo5 tiu4	
整烂	jing2 lan6	弄坏，弄破
整烂咗	jing2 lan6 zo2	弄坏了
整路	jing2 lou6	补路
整理	jing2 léi5	
整乱	jing2 lün6	弄乱
整唔切	jing2 m4 qid3	来不及做，来不及弄
整乜嘢鬼	jing2 med1 yé5 gwei2	搞什么鬼
整餸	jing2 sung3	做菜
整伤	jing2 sêng1	弄伤
整衰	jing2 sêu1	搞砸，搞糟
整衰晒	jing2 sêu1 sai3	越弄越糟，搞砸了
井水	jing2 sêu2	
井水不犯河水	jing2 sêu2 bed1 fan6 ho4 sêu2	
整体	jing2 tei2	
井田	jing2 tin4	
井田制	jing2 tin4 zei3	
井田制度	jing2 tin4 zei3 dou6	
整痛	jing2 tung3	弄痛
整污糟	jing2 wu1 zou1	弄脏
整成…嘅习惯	jing2 xing4 gé3 zab6 gwan3	养成…的习惯
整损	jing2 xun2	弄破，弄伤
整损手	jing2 xun2 seo2	把手弄破了
井然	jing2 yin4	
井然有条	jing2 yin4 yeo5 tiu4	
井然有序	jing2 yin4 yeo5 zêu6	
整容	jing2 yung4	
正版	jing3 ban2	
政变	jing3 bin3	
正本	jing3 bun2	
政策	jing3 cag3	
正大	jing3 dai6	
政敌	jing3 dig6	
正点	jing3 dim2	
正电	jing3 din6	
正电极	jing3 din6 gig6	
正电荷	jing3 din6 ho6	
正电子	jing3 din6 ji2	
正电流	jing3 din6 leo4	
正当	jing3 dong1	
政党政治	jing3 dong2 jing3 ji6	
正道	jing3 dou6	
正对面	jing3 dêu3 min6	
正反	jing3 fan2	
正犯	jing3 fan2	
正反两方面	jing3 fan2 lêng5 fong1 min6	
正反两面	jing3 fan2 lêng5 min6	
正反面	jing3 fan2 min6	
证婚	jing3 fen1	
证婚人	jing3 fen1 yen4	
正货	jing3 fo3	正牌货
正方形	jing3 fong1 ying4	
政府	jing3 fu2	
政府部门	jing3 fu2 bou6 mun4	
政府机关	jing3 fu2 géi1 gwan1	
政府机构	jing3 fu2 géi1 keo3	
正负	jing3 fu6	
正负号	jing3 fu6 hou6	
政界	jing3 gai3	
政界人士	jing3 gai3 yen4 xi6	
证交所	jing3 gao1 so2	
证交税	jing3 gao1 sêu3	
正教	jing3 gao3	
政教	jing3 gao3	
政教合一	jing3 gao3 heb6 yed1	
正根	jing3 gen1	
正极	jing3 gig6	
政见	jing3 gin3	
证件	jing3 gin3	
正经	jing3 ging1	
政经	jing3 ging1	
正经事	jing3 ging1 xi6	
政纲	jing3 gong1	
证管会	jing3 gun2 wui6	
证据	jing3 gêu3	
政客	jing3 hag3	
正合	jing3 heb6	
正合我意	jing3 heb6 ngo5 yi3	
症候	jing3 heo6	
症候群	jing3 heo6 kwen4	
政协	jing3 hib3	
正好	jing3 hou2	
正气	jing3 héi3	
正气凛然	jing3 héi3 lem5 yin4	
证券	jing3 hün3	
证券交易所	jing3 hün3 gao1 yig6 so2	
证券交易税	jing3 hün3 gao1 yig6 sêu3	
证券公司	jing3 hün3 gung1 xi1	
证券商	jing3 hün3 sêng1	
证券市场	jing3 hün3 xi5 cêng4	
正字	jing3 ji6	
政治	jing3 ji6	
政治部	jing3 ji6 bou6	
正字法	jing3 ji6 fad3	
政治犯	jing3 ji6 fan2	
政治家	jing3 ji6 ga1	
政治界	jing3 ji6 gai3	
政治经济	jing3 ji6 ging1 zei3	
政治学	jing3 ji6 hog6	
政治学家	jing3 ji6 hog6 ga1	
政治权利	jing3 ji6 kün4 léi6	
政绩	jing3 jig1	
正值	jing3 jig6	
正正经经	jing3 jing3 ging1 ging1	
正正确确	jing3 jing3 kog3 kog3	
证照	jing3 jiu3	
正楷	jing3 kai2	
正确	jing3 kog3	
正确性	jing3 kog3 xing3	
正规	jing3 kwei1	
正规军	jing3 kwei1 gwen1	
政权	jing3 kün4	
正离子	jing3 léi4 ji2	
政论	jing3 lên6	
证物	jing3 med6	
正文	jing3 men4	
正面	jing3 min6	
正名	jing3 ming4	
证明	jing3 ming4	
证明文件	jing3 ming4 men4 gin6	
证明书	jing3 ming4 xu1	
政务	jing3 mou6	
政务官	jing3 mou6 gun1	
正门	jing3 mun4	
正午	jing3 ng5	
正误	jing3 ng6	
正误表	jing3 ng6 biu2	
正颜厉色	jing3 ngan4 lei6 xig1	
正派	jing3 pai3	
正牌	jing3 pai4	
证词	jing3 qi4	
证实	jing3 sed6	
正数	jing3 sou3	
正常	jing3 sêng4	
正常化	jing3 sêng4 fa3	
政坛	jing3 tan4	
正体	jing3 tei2	
正体字	jing3 tei2 ji6	
正题	jing3 tei4	
正途	jing3 tou4	
正统	jing3 tung2	
正话	jing3 wa6	刚才，刚刚，正在，正，正要
政委	jing3 wei2	
政委会	jing3 wei2 wui6	
正史	jing3 xi2	
正视	jing3 xi6	
正是如此	jing3 xi6 yu4 qi2	
正色	jing3 xig1	
正式	jing3 xig1	
证书	jing3 xu1	
正一	jing3 yed1	真正
正因	jing3 yen1	
证人	jing3 yen4	
正人	jing3 yen4	
正人君子	jing3 yen4 gwen1 ji2	
证人席	jing3 yen4 jig6	
正义	jing3 yi6	
正义感	jing3 yi6 gem2	
证验	jing3 yim6	
正弦	jing3 yin4	
证言	jing3 yin4	
正弦波	jing3 yin4 bo1	
正弦定理	jing3 yin4 ding6 léi5	
正弦曲线	jing3 yin4 kug1 xin3	
正弦规	jing3 yin4 kwei1	
政要	jing3 yiu3	
正则	jing3 zeg1	
正则表达式	jing3 zeg1 biu2 dad6 xig1	
正则化	jing3 zeg1 fa3	
正在	jing3 zoi6	
症状	jing3 zong6	
正中	jing3 zung1	
正中间	jing3 zung1 gan1	
正中下怀	jing3 zung1 ha6 wai4	
正中央	jing3 zung1 yêng1	
剩	jing6	剩，剩下
剩得	jing6 deg1	只有，只剩下
剩低	jing6 dei1	剩下
静电	jing6 din6	
剩翻	jing6 fan1	剩下
静鸡鸡	jing6 gei1 gei1	静静地，悄悄地
净系	jing6 hei6	只是，光，仅仅
静止	jing6 ji2	
静静鸡	jing6 jing2 gei1	偷偷的
静落嚟	jing6 log6 léi4	安静下来
静宓	jing6 med6	
静谧	jing6 med6	
净面	jing6 min6	光面，阳春面，素面条
静英英	jing6 ying1 ying1	静悄悄，静静地
招待所	jiu1 doi6 so2	
朝晖	jiu1 fei1	
招呼	jiu1 fu1	
招呼唔到	jiu1 fu1 m4 dou2	招待不周
招供	jiu1 gung1	
招积	jiu1 jig1	夸耀
朝朝	jiu1 jiu1	每天早上
招揽	jiu1 lam5	
招徕	jiu1 loi4	
朝露	jiu1 lou6	
焦虑	jiu1 lêu6	
招募	jiu1 mou6	
朝暮	jiu1 mou6	
招牌	jiu1 pai4	
招聘	jiu1 ping3	
蕉皮	jiu1 péi4	香蕉皮
焦炭	jiu1 tan3	
朝头早	jiu1 teo4 zou2	早上，早晨
招魂	jiu1 wen4	
招惹	jiu1 yé5	
朝早	jiu1 zou2	早上，早晨
剿除	jiu2 cêu4	
沼泽	jiu2 zag6	
照	jiu3	当，对着，迎
照	jiu3	照样，照旧
诏告	jiu3 gou3	
照顾	jiu3 gu3	
照X光	jiu3 ig1 xi4 gwong1	
诏旨	jiu3 ji2	
诏令	jiu3 ling6	
照明	jiu3 ming4	
照明灯	jiu3 ming4 deng1	
照明设备	jiu3 ming4 qid3 béi6	
诏命	jiu3 ming6	
诏安	jiu3 on1	
照杀	jiu3 sad3	照做不误
照弹	jiu3 tan4	照样受到批评，照旧遭指责
照头淋	jiu3 teo4 lem4	迎头浇
照头一棍	jiu3 teo4 yed1 gwen3	当头一棒
诏示	jiu3 xi6	
诏书	jiu3 xu1	
诏谕	jiu3 yu6	
摷	jiu6	狠揍，痛打
噍	jiu6	嚼
噍吹波胶	jiu6 cêu1 bo1 gao1	嚼泡泡糖
召见	jiu6 gin3	
召妓	jiu6 géi6	
召开	jiu6 hoi1	
召之即来	jiu6 ji1 jig1 loi4	
召回	jiu6 wui4	
召唤	jiu6 wun6	
摷一轮	jiu6 yed1 lên4	痛打一顿
召集	jiu6 zab6	
召集人	jiu6 zab6 yen4	
珠宝	ju1 bou2	
珠宝店	ju1 bou2 dim3	
珠宝行	ju1 bou2 hong4	
珠宝商	ju1 bou2 sêng1	
猪窦	ju1 deo3	猪窝
诸多	ju1 do1	
猪膏	ju1 gou1	猪油
朱古力	ju1 gu1 lig1	巧克力
朱古力新地	ju1 gu1 lig1 sen1 déi2	巧克力圣代
朱古力雪糕	ju1 gu1 lig1 xud3 gou1	巧克力冰淇淋
猪公	ju1 gung1	公猪
珠光宝气	ju1 gwong1 bou2 héi3	
珠玑	ju1 géi1	
猪脚	ju1 gêg3	猪蹄子，猪蹄，猪后腿
诸侯	ju1 heo4	
诸侯国	ju1 heo4 gwog3	
猪红	ju1 hung4	猪血
诸子百家	ju1 ji2 bag3 ga1	
珠帘	ju1 lim4	
猪猡	ju1 lo4	
侏罗纪	ju1 lo4 géi2	
猪笼入水	ju1 lung4 yeb6 sêu2	喩钱财从多方面进来
猪脷	ju1 léi6	猪舌头，口条
珠联璧合	ju1 lün4 big1 heb6	
猪唛	ju1 meg1	愚蠢，笨
珠母	ju1 mou5	
猪乸	ju1 na2	母猪
猪扒	ju1 pa2	猪排
猪扒包	ju1 pa2 bao1	猪排包
猪扒饭	ju1 pa2 fan6	猪排饭
猪朋狗友	ju1 peng4 geo2 yeo5	坏朋友，狐朋狗友
珠蚌	ju1 pong5	
猪手	ju1 seo2	猪前腿
蛛丝马迹	ju1 xi1 ma5 jig1	
珠算	ju1 xun3	
茱萸	ju1 yu4	
侏儒	ju1 yu4	
诸如	ju1 yu4	
侏儒症	ju1 yu4 jing3	
诸如此类	ju1 yu4 qi2 lêu6	
珠圆玉润	ju1 yun4 yug6 yên6	
猪踭	ju1 zang1	猪肘子，猪蹄膀，猪后腿
猪踭肉	ju1 zang1 yug6	猪肘子，猪蹄膀，猪后腿
猪仔包	ju1 zei2 bao1	短法国面包
主播	ju2 bo3	
主仆	ju2 bug6	
主仆关系	ju2 bug6 gwan1 hei6	
主从	ju2 cung4	
主从关系	ju2 cung4 gwan1 hei6	
主唱	ju2 cêng3	
主场	ju2 cêng4	
煮到埋嚟先食	ju2 dou2 mai4 léi4 xin1 xig6	吃现成儿，不到时候不着急
主动	ju2 dung6	
主动权	ju2 dung6 kün4	
主动脉	ju2 dung6 meg6	
主犯	ju2 fan2	
主帆	ju2 fan4	
煮饭	ju2 fan6	做饭
煮饭	ju2 fan6	
煮饭仔	ju2 fan6 zei2	过家家
煮沸	ju2 fei3	
主妇	ju2 fu5	
主峰	ju2 fung1	
煮咖啡	ju2 ga3 fé1	
主角	ju2 gog3	
主观	ju2 gun1	
主机	ju2 géi1	
主机板	ju2 géi1 ban2	
主句	ju2 gêu3	
主旨	ju2 ji2	
主治	ju2 ji6	
主治医生	ju2 ji6 yi1 seng1	
主席	ju2 jig6	
主席台	ju2 jig6 toi4	
主权	ju2 kün4	
主权国	ju2 kün4 gwog3	
主权国家	ju2 kün4 gwog3 ga1	
主权在民	ju2 kün4 zoi6 men4	
主流	ju2 leo4	
主流派	ju2 leo4 pai3	
主流社会	ju2 leo4 sé5 wui6	
主力	ju2 lig6	
主力军	ju2 lig6 gwen1	
煮燶饭	ju2 lung1 fan6	煮煳了饭
主持	ju2 qi4	
主持正义	ju2 qi4 jing3 yi6	
主持人	ju2 qi4 yen4	
主厨	ju2 qu4	
主修	ju2 seo1	
主修科目	ju2 seo1 fo1 mug6	
煮餸	ju2 sung3	做菜
主帅	ju2 sêu3	
主题	ju2 tei4	
主使	ju2 xi2	
煮食	ju2 xig6	煮饭吃
主旋律	ju2 xun4 lêd6	
主任	ju2 yem6	
主因	ju2 yen1	
主人	ju2 yen4	
主人公	ju2 yen4 gung1	
主人翁	ju2 yen4 yung1	
主意	ju2 yi3	
主页	ju2 yib6	
主嫌	ju2 yim4	
主演	ju2 yin2	
主要	ju2 yiu3	
主宰	ju2 zoi2	
主宰权	ju2 zoi2 kün4	
主张	ju2 zêng1	
注册	ju3 cag3	
驻防	ju3 fong4	
驻军	ju3 gwen1	
注脚	ju3 gêg3	
驻留	ju3 leo4	
着名	ju3 ming4	
著名人物	ju3 ming4 yen4 med6	
蛀牙	ju3 nga4	
驻颜有术	ju3 ngan4 yeo5 sêd6	
驻外	ju3 ngoi6	
著称	ju3 qing1	
驻守	ju3 seo2	
注射	ju3 sé6	
著述	ju3 sêd6	
驻屯	ju3 tün4	
驻华	ju3 wa4	
著书	ju3 xu1	
著书立说	ju3 xu1 lab6 xud3	
注意	ju3 yi3	
驻紮	ju3 zad3	
驻扎	ju3 zad3	
着作	ju3 zog3	
著作权	ju3 zog3 kün4	
驻足	ju3 zug1	
住客	ju6 hag3	房客，租客
住喺	ju6 hei2	住在
住响	ju6 hêng2	住在
住户	ju6 wu6	
住宅	ju6 zag6	
住宅区	ju6 zag6 kêu1	
辍学	jud3 hog6	
拙劣	jud3 lüd3	
啜泣	jud3 yeb1	
啜饮	jud3 yem2	
茁壮	jud3 zong3	
绝版	jud6 ban2	
绝版书	jud6 ban2 xu1	
绝笔	jud6 bed1	
绝不	jud6 bed1	
绝大部分	jud6 dai6 bou6 fen6	
绝大多数	jud6 dai6 do1 sou3	
绝顶	jud6 ding2	
绝顶聪明	jud6 ding2 cung1 ming4	
绝代	jud6 doi6	
绝代佳人	jud6 doi6 gai1 yen4	
绝代美女	jud6 doi6 méi5 nêu5	
绝地	jud6 déi6	
绝对	jud6 dêu3	
绝对零度	jud6 dêu3 ling4 dou6	
绝对湿度	jud6 dêu3 seb1 dou6	
绝对温度	jud6 dêu3 wen1 dou6	
绝对性	jud6 dêu3 xing3	
绝对优势	jud6 dêu3 yeo1 sei3	
绝非	jud6 féi1	
绝佳	jud6 gai1	
绝交	jud6 gao1	
绝境	jud6 ging2	
绝技	jud6 géi6	
绝句	jud6 gêu3	
绝口	jud6 heo2	
绝口不提	jud6 heo2 bed1 tei4	
绝后	jud6 heo6	
绝学	jud6 hog6	
绝响	jud6 hêng2	
绝子绝孙	jud6 ji2 jud6 xun1	
绝迹	jud6 jig1	
绝症	jud6 jing3	
绝招	jud6 jiu1	
绝路	jud6 lou6	
绝伦	jud6 lên4	
绝命	jud6 ming6	
绝命书	jud6 ming6 xu1	
绝妙	jud6 miu6	
绝望	jud6 mong6	
绝无	jud6 mou4	
绝无仅有	jud6 mou4 gen2 yeo5	
绝艺	jud6 ngei6	
绝配	jud6 pui3	
绝情	jud6 qing4	无情，不够朋友
绝处逢生	jud6 qu3 fung4 seng1	
绝世	jud6 sei3	
绝色	jud6 xig1	
绝食	jud6 xig6	
绝食抗议	jud6 xig6 kong3 yi5	
绝热	jud6 yid6	
绝育	jud6 yug6	
绝育法	jud6 yug6 fad3	
绝缘	jud6 yun4	
绝缘材料	jud6 yun4 coi4 liu6	
绝缘物	jud6 yun4 med6	
绝缘体	jud6 yun4 tei2	
绝缘线	jud6 yun4 xin3	
绝种	jud6 zung2	
尊卑	jun1 béi1	
尊卑不分	jun1 béi1 bed1 fen1	
专辑	jun1 ceb1	
专车	jun1 cé1	
专唱	jun1 cêng3	
专长	jun1 cêng4	
专登	jun1 deng1	故意，特意，刻意
专断	jun1 dün6	
砖块	jun1 fai3	
专科	jun1 fo1	
专科学校	jun1 fo1 hog6 hao6	
专访	jun1 fong2	
专家	jun1 ga1	
尊驾	jun1 ga3	
尊敬	jun1 ging3	
专攻	jun1 gung1	
尊贵	jun1 gwei3	
专柜	jun1 gwei6	
专机	jun1 géi1	
专校	jun1 hao6	
专刊	jun1 hon2	
专向	jun1 hêng3	
专治	jun1 ji6	
专职	jun1 jig1	
专职人员	jun1 jig1 yen4 yun4	
专精	jun1 jing1	
专政	jun1 jing3	
专注	jun1 ju3	
专著	jun1 ju3	
专区	jun1 kêu1	
专权	jun1 kün4	
专栏	jun1 lan4	
专栏作家	jun1 lan4 zog3 ga1	
专利	jun1 léi6	
专利品	jun1 léi6 ben2	
专利法	jun1 léi6 fad3	
专利权	jun1 léi6 kün4	
专利税	jun1 léi6 sêu3	
专卖	jun1 mai6	
专卖店	jun1 mai6 dim3	
专文	jun1 men4	
专名	jun1 ming4	
尊命	jun1 ming6	
专门	jun1 mun4	
专门化	jun1 mun4 fa3	
专门知识	jun1 mun4 ji1 xig1	
专案	jun1 on3	
专案处理	jun1 on3 qu5 léi5	
专案小组	jun1 on3 xiu2 zou2	
尊称	jun1 qing1	
专程	jun1 qing4	
专情	jun1 qing4	
专心	jun1 sem1	
专心一意	jun1 sem1 yed1 yi3	
专修	jun1 seo1	
专属	jun1 sug6	
尊崇	jun1 sung4	
专题	jun1 tei4	
专题报告	jun1 tei4 bou3 gou3	
专题研究	jun1 tei4 yin4 geo3	
砖头	jun1 teo4	
专同…拗颈	jun1 tung4 ngao3 géng2	专门跟…抬杠
专为	jun1 wei4	
尊位	jun1 wei6	
尊荣	jun1 wing4	
尊师	jun1 xi1	
专司	jun1 xi1	
尊师重道	jun1 xi1 zung6 dou6	
专线	jun1 xin3	
专线电话	jun1 xin3 din6 wa2	
尊姓大名	jun1 xing3 dai6 ming4	
专书	jun1 xu1	
专一	jun1 yed1	
专任	jun1 yem6	
专有	jun1 yeo5	
专有名词	jun1 yeo5 ming4 qi4	
专业	jun1 yib6	
专业化	jun1 yib6 fa3	
专业教育	jun1 yib6 gao3 yug6	
专业知识	jun1 yib6 ji1 xig1	
专业精神	jun1 yib6 jing1 sen4	
专业性	jun1 yib6 xing3	
专业人士	jun1 yib6 yen4 xi6	
专业组织	jun1 yib6 zou2 jig1	
尊严	jun1 yim4	
专营	jun1 ying4	
鳟鱼	jun1 yu4	
颛顼	jun1 yug1	
专员	jun1 yun4	
专用	jun1 yung6	
专用品	jun1 yung6 ben2	
专制	jun1 zei3	
尊重	jun1 zung6	
转败为胜	jun2 bai6 wei4 xing3	
转变	jun2 bin3	
转播	jun2 bo3	
转车	jun2 cé1	
转发	jun2 fad3	
转角	jun2 gog3	
转角处	jun2 gog3 qu3	
转寄	jun2 géi3	
传记	jun2 géi3	
转吓眼	jun2 ha5 ngan5	一转眼
转行	jun2 hong4	转业，改行
转战	jun2 jin3	
转捩点	jun2 lid6 dim2	
转卖	jun2 mai6	
转眼	jun2 ngan5	
转眼间	jun2 ngan5 gan1	
转眼之间	jun2 ngan5 ji1 gan1	
转念	jun2 nim6	
转念之间	jun2 nim6 ji1 gan1	
转身	jun2 sen1	
转送	jun2 sung3	
转述	jun2 sêd6	
转瞬	jun2 sên3	
转軚	jun2 tai5	改变立场
转头	jun2 teo4	回头，一会儿，回头再
转头见	jun2 teo4 gin3	回头见
转头嚟过	jun2 teo4 léi4 gwo3	回头再来
转弯	jun2 wan1	
转弯抹角	jun2 wan1 mud3 gog3	
转祸为福	jun2 wo6 wei4 fug1	
转换	jun2 wun6	
转换器	jun2 wun6 héi3	
转移	jun2 yi4	
转让	jun2 yêng6	
转赠	jun2 zeng6	
转载	jun2 zoi3	
转租	jun2 zou1	
转帐	jun2 zêng3	
钻戒	jun3 gai3	
钻石	jun3 ség6	
转右	jun3 yeo6	右转
转左	jun3 zo2	左转
卡车	ka1 cé1	
卡路里	ka1 lou6 léi5	
卡通片	ka1 tung1 pin2	动画电影
喀斯特	ka1 xi1 deg6	
卡士	ka1 xi6	演员阵容，班底，演员表
卡住	ka2 ju6	
卡罅	ka3 la3	缝儿，缝隙，间隙
楷	kai2	瓣儿
楷体	kai2 tei2	
楷体字	kai2 tei2 ji6	
楷书	kai2 xu1	
楷书体	kai2 xu1 tei2	
靠	kao3	依靠
靠拢	kao3 lung5	
扱	keb1	罩，扣，盖，倒扣，倒盖
级别	keb1 bid6	
吸尘机	keb1 cen4 géi1	吸尘器
汲取	keb1 cêu2	
扱得好冚	keb1 deg1 hou2 hem6	盖得很严
吸血鬼	keb1 hüd3 gwei2	
岌岌可危	keb1 keb1 ho2 ngei4	
扱实只盖	keb1 sed6 zég3 goi3	把盖子盖好
吸收	keb1 seo1	
汲水	keb1 sêu2	
吸入	keb1 yeb6	
扱印	keb1 yen3	盖章
吸引	keb1 yen5	
芨芨草	keb6 keb6 cou2	
及时	keb6 xi4	
cut	ked1	剪断，删剪，削减
咭	ked1	卡，卡片
咳	ked1	咳嗽
咳血	ked1 hüd3	
咭片	ked1 pin2	名片，卡片
咳嗽	ked1 seo3	
咳嗽药	ked1 seo3 yêg6	
咭数	ked1 sou3	卡帐
溪钱	kei1 qin4	纸钱
溪水	kei1 sêu2	
溪水潺潺	kei1 sêu2 san4 san4	
启动	kei2 dung6	
启发	kei2 fad3	
启航	kei2 hong4	
启示	kei2 xi6	
契	kei3	认干亲，结为干亲，结拜，拜认的，干亲的
契	kei3	契约，合约
契家佬	kei3 ga1 lou2	情夫
契家婆	kei3 ga1 po4	情妇
契哥	kei3 go1	干哥哥
契媽	kei3 ma1	干妈，干娘
契妹	kei3 mui2	干妹
契乸	kei3 na2	干妈
契娘	kei3 nêng4	干妈
契爺	kei3 yé4	干爹
契约	kei3 yêg3	
契仔	kei3 zei2	干儿子
禁	kem1	耐，经得起
禁等	kem1 deng2	够等的
禁搅	kem1 gao2	做不完，不能一下子做好的
禁冷	kem1 lang5	耐寒
禁磨	kem1 mo4	耐磨
禁谂	kem1 nem2	费脑筋
禁死	kem1 séi2	不易死
禁睇	kem1 tei2	耐看
禁听	kem1 téng1	耐听，好听
禁色	kem1 xig1	不褪色，不易变色
禁热	kem1 yid6	耐热
禁用	kem1 yung6	耐用
禁做	kem1 zou6	做不完，不易做完
禁着	kem1 zêg3	耐穿
襟章	kem1 zêng1	胸章，徽章
搇	kem2	盖
搇	kem2	掴
搇	kem2	由上而下地遮掩，由上而下地揍或扣
搇斗	kem2 deo2	倒闭
搇档	kem2 dong3	倒闭
搇赌	kem2 dou2	抓赌局
搇盖	kem2 goi3	盖盖子
搇旗	kem2 kéi4	倒闭，停业
搇佢一巴掌	kem2 kêu5 yed1 ba1 zêng2	冚佢一巴掌
搇你一巴掌	kem2 néi5 yed1 ba1 zêng2	掴你一个耳光
搇被	kem2 péi5	盖被子
搇一巴掌	kem2 yed1 ba1 zêng2	掴一个耳光
擒树	kem3 xu6	爬树，上树，攀登上树
擒	kem4	爬，攀爬，攀登
擒贼擒王	kem4 cag6 kem4 wong4	
擒贼先擒王	kem4 cag6 xin1 kem4 wong4	
擒青	kem4 céng1	匆忙，急忙，鲁莽，莽撞，冒失
琴调	kem4 diu6	
琴架	kem4 ga2	
琴键	kem4 gin6	
擒高擒低	kem4 gou1 kem4 dei1	爬上爬下
琴朝	kem4 jiu1	昨天早上
擒擒青	kem4 kem2 céng1	匆忙地，急匆匆
擒擒青青	kem4 kem4 céng1 céng1	匆匆忙忙
擒骑	kem4 ké4	爱攀缘的，爱爬上爬下，淘气，调皮
琴棋书画	kem4 kéi4 xu1 wa2	
蠄蟝	kem4 kêu4	癞蛤蟆
禽流感	kem4 leo4 gem2	
蠄蟧	kem4 lou4	蜘蛛，大蜘蛛
蠄蟧丝网	kem4 lou4 xi1 mong1	蜘蛛网
琴晚	kem4 man5	昨晚，昨天晚上
琴晚黑	kem4 man5 heg1	昨晚，昨天晚上
擒拿	kem4 na4	
琴艺	kem4 ngei6	
琴谱	kem4 pou2	
禽兽	kem4 seo3	
禽兽不如	kem4 seo3 bed1 yu4	
禽兽行为	kem4 seo3 heng4 wei4	
琴声	kem4 séng1	
擒上	kem4 sêng5	爬上
擒上去	kem4 sêng5 hêu3	爬上去
擒上树	kem4 sêng5 xu6	爬上树
擒获	kem4 wog6	
琴师	kem4 xi1	
琴日	kem4 yed6	昨天
琴音	kem4 yem1	
琴弦	kem4 yin4	
擒捉	kem4 zug1	
妗母	kem5 mou5	舅母
妗婆	kem5 po4	舅奶奶
芹菜	ken4 coi3	
勤快	ken4 fai3	
勤奋	ken4 fen5	
勤苦	ken4 fu2	
勤谨	ken4 gen2	
勤工俭学	ken4 gung1 gim6 hog6	
勤恳	ken4 hen2	
勤学	ken4 hog6	
勤学苦练	ken4 hog6 fu2 lin6	
勤力	ken4 lig6	用功，努力
勤劳	ken4 lou4	
勤勉	ken4 min5	
勤务	ken4 mou6	
勤务员	ken4 mou6 yun4	
勤能补拙	ken4 neng4 bou2 jud3	
勤朴	ken4 pog3	
勤有功嬉无益	ken4 yeo5 gung1 héi1 mou4 yig1	
勤以补拙	ken4 yi5 bou2 jud3	
近路	ken5 lou6	近道，捷径
鲠	keng2	噎，咽，卡
哽亲	keng2 cen1	呛着，噎着，噎着了
鲠骨	keng2 gwed1	卡了鱼刺
鲠颈	keng2 géng2	噎，卡在喉咙里
鲠唔落	keng2 m4 log6	咽不下
鲠唔落	keng2 m4 log6	咽不下
鲠死	keng2 séi2	噎死，卡死
掯	keng3	有本事，有能耐
掯	keng3	醇厚，劲足，味儿冲
沟	keo1	勾引
沟壑	keo1 kog3	
抠门	keo1 mun4	
沟女	keo1 nêu2	追求女孩子，勾引女孩子，玩弄女孩，泡妞
沟通	keo1 tung1	
沟通技巧	keo1 tung1 géi6 hao2	
沟仔	keo1 zei2	追男人
抠着手掌	keo1 zêg6 seo2 zêng2	
扣押	keo3 ad3	
叩拜	keo3 bai3	
购货	keo3 fo3	
叩见	keo3 gin3	
构件	keo3 gin6	
构句	keo3 gêu3	
构句法	keo3 gêu3 fad3	
购置	keo3 ji3	
购买	keo3 mai5	
购买力	keo3 mai5 lig6	
购买欲	keo3 mai5 yug6	
购物	keo3 med6	
购物单	keo3 med6 dan1	
购物中心	keo3 med6 zung1 sem1	
叩门	keo3 mun4	
购票	keo3 piu3	
构词	keo3 qi4	
构词法	keo3 qi4 qi4	
叩首	keo3 seo2	
构想	keo3 sêng2	
叩头	keo3 teo4	
构图	keo3 tou4	
构图法	keo3 tou4 fad3	
构思	keo3 xi1	
构思法	keo3 xi1 fad3	
构成	keo3 xing4	
购入	keo3 yeb6	
扣针	keo3 zem1	别针
构造	keo3 zou6	
构筑	keo3 zug1	
叩谢	keo3 zé6	
求亲	keo4 cen1	
球场	keo4 cêng4	
求婚	keo4 fen1	
求欢	keo4 fun1	
求解	keo4 gai2	
求教	keo4 gao3	
求救	keo4 geo3	
求救信号	keo4 geo3 sên3 hou6	
求见	keo4 gin3	
球茎	keo4 heng1	
求学	keo4 hog6	
求降	keo4 hong4	
求知	keo4 ji1	
求之不得	keo4 ji1 bed1 deg1	
求知欲	keo4 ji1 yug6	
求子	keo4 ji2	
求职	keo4 jig1	
求职信	keo4 jig1 sên3	
求证	keo4 jing3	
求求其其	keo4 keo4 kéi4 kéi4	马马虎虎，随随便便
求其	keo4 kéi4	随便
虬龙	keo4 lung4	
求名	keo4 ming4	
求名求利	keo4 ming4 keo4 léi6	
求偶	keo4 ngeo5	
求爱	keo4 oi3	
球拍	keo4 pag3	
球棒	keo4 pang5	
求签	keo4 qim1	
求情	keo4 qing4	
求全	keo4 qun4	
求神	keo4 sen4	
求神问卜	keo4 sen4 men6 bug1	
求生	keo4 seng1	
球体	keo4 tei2	
求田问舍	keo4 tin4 men6 sé3	
求和	keo4 wo4	
求援	keo4 wun4	
求先	keo4 xin1	刚才
求胜	keo4 xing3	
求人	keo4 yen4	
求人不如求己	keo4 yen4 bed1 yu4 keo4 géi2	
求仁得仁	keo4 yen4 deg1 yen4	
