开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
毕业生	pɐt˥ ji:p˨ sa:ŋ˥	
毕业相	pɐt˥ ji:p˨ sœ:ŋ˧˥	毕业照
毕业典礼	pɐt˥ ji:p˨ ti:n˧˥ lɐi˩˧	
不二法门	pɐt˥ ji:˨ fa:t˧ mu:n˨˩	
不二价	pɐt˥ ji:˨ ka:˧	
不义之财	pɐt˥ ji:˨ tsi:˥ tsʰɔ:i˨˩	
不宜	pɐt˥ ji:˨˩	
不宜	pɐt˥ ji:˨˩	不如
不以语人	pɐt˥ ji:˩˧ jy:˨ jɐn˨˩	
不以为苦	pɐt˥ ji:˩˧ wɐi˨˩ fu:˧˥	
不以为然	pɐt˥ ji:˩˧ wɐi˨˩ ji:n˨˩	
不远千里	pɐt˥ jy:n˩˧ tsʰi:n˥ lei˩˧	
不远千里而来	pɐt˥ jy:n˩˧ tsʰi:n˥ lei˩˧ ji:˨˩ lɔ:i˨˩	
不悦	pɐt˥ jy:t˨	
不如	pɐt˥ jy:˨˩	
不如下次先啦	pɐt˥ jy:˨˩ ha:˨ tsʰi:˧ si:n˥ la:˥	下次吧
不予置评	pɐt˥ jy:˩˧ tsi:˧ pʰɪŋ˨˩	
不忍	pɐt˥ jɐn˧˥	
不忍心	pɐt˥ jɐn˧˥ sɐm˥	
不忍卒睹	pɐt˥ jɐn˧˥ tsɵt˥ tou˧˥	
不孕	pɐt˥ jɐn˨	
不孕症	pɐt˥ jɐn˨ tsɪŋ˧	
不入虎穴	pɐt˥ jɐp˨ fu:˧˥ jy:t˨	
笔友	pɐt˥ jɐu˩˧	
不夜城	pɐt˥ jɛ:˨ sɪŋ˨˩	
不翼而飞	pɐt˥ jɪk˨ ji:˨˩ fei˥	
不亦乐乎	pɐt˥ jɪk˨ lɔ:k˨ fu:˨˩	
不容	pɐt˥ jʊŋ˨˩	
不容分说	pɐt˥ jʊŋ˨˩ fɐn˥ sy:t˧	
不容置疑	pɐt˥ jʊŋ˨˩ tsi:˧ ji:˨˩	
不容置辩	pɐt˥ jʊŋ˨˩ tsi:˧ pi:n˨	
不假思索	pɐt˥ ka:˧˥ si:˥ sa:k˧	
不覊	pɐt˥ kei˥	
笔记	pɐt˥ kei˧	
笔记本	pɐt˥ kei˧ pu:n˧˥	
不见棺材不掉泪	pɐt˥ ki:n˧ ku:n˥ tsʰɔ:i˨˩ pɐt˥ ti:u˨ lɵy˨	
不见经传	pɐt˥ ki:n˧ kɪŋ˥ tsʰy:n˨˩	
不见不散	pɐt˥ ki:n˧ pɐt˥ sa:n˧	
不见天日	pɐt˥ ki:n˧ tʰi:n˥ jɐt˨	
不告而别	pɐt˥ kou˧ ji:˨˩ pi:t˨	
不管	pɐt˥ ku:n˧˥	
不管三七二十一	pɐt˥ ku:n˧˥ sa:m˥ tsʰɐt˥ ji:˨ sɐp˨ jɐt˥	
不关痛痒	pɐt˥ kwa:n˥ tʰʊŋ˧ jœ:ŋ˩˧	
不光	pɐt˥ kwɔ:ŋ˥	
不过	pɐt˥ kwɔ:˧	
不过如此	pɐt˥ kwɔ:˧ jy:˨˩ tsʰi:˧˥	
不计其数	pɐt˥ kɐi˧ kʰei˨˩ sou˧	
不禁	pɐt˥ kɐm˥	
不甘	pɐt˥ kɐm˥	
不甘示弱	pɐt˥ kɐm˥ si:˨ jœ:k˨	
不甘心	pɐt˥ kɐm˥ sɐm˥	
不甘寂寞	pɐt˥ kɐm˥ tsɪk˨ mɔ:k˨	
不敢当	pɐt˥ kɐm˧˥ tɔ:ŋ˥	
不仅	pɐt˥ kɐn˧˥	
不仅仅	pɐt˥ kɐn˧˥ kɐn˧˥	
不急不徐	pɐt˥ kɐp˥ pɐt˥ tsʰɵy˨˩	
不急之务	pɐt˥ kɐp˥ tsi:˥ mou˨	
不够	pɐt˥ kɐu˧	
笔杆	pɐt˥ kɔ:n˧˥	
不经一事，不长一智	pɐt˥ kɪŋ˥ jɐt˥ si:˨ pɐt˥ tsœ:ŋ˧˥ jɐt˥ tsi:˧	
毕竟	pɐt˥ kɪŋ˧˥	
不景气	pɐt˥ kɪŋ˧˥ hei˧	
笔供	pɐt˥ kʊŋ˥	
不公不义	pɐt˥ kʊŋ˥ pɐt˥ ji:˨	
毕恭毕敬	pɐt˥ kʊŋ˥ pɐt˥ kɪŋ˧	
不共戴天	pɐt˥ kʊŋ˨ ta:i˧ tʰi:n˥	
不共戴天之仇	pɐt˥ kʊŋ˨ ta:i˧ tʰi:n˥ tsi:˥ sɐu˨˩	
不愧	pɐt˥ kʰwɐi˩˧	
不及	pɐt˥ kʰɐp˨	
不及格	pɐt˥ kʰɐp˨ ka:k˧	
不及物动词	pɐt˥ kʰɐp˨ mɐt˨ tʊŋ˨ tsʰi:˨˩	
不亢不卑	pɐt˥ kʰɔ:ŋ˧ pɐt˥ pei˥	
抔垃圾	pɐt˥ la:p˨ sa:p˧	撮垃圾
不冷不热	pɐt˥ la:ŋ˩˧ pɐt˥ ji:t˨	
不利	pɐt˥ lei˨	
不理不睬	pɐt˥ lei˩˧ pɐt˥ tsʰɔ:i˧˥	
不了了之	pɐt˥ li:u˩˧ li:u˩˧ tsi:˥	
筚路蓝缕	pɐt˥ lou˨ la:m˨˩ lɵy˩˧	
不劳而获	pɐt˥ lou˨˩ ji:˨˩ wɔ:k˨	
不溜	pɐt˥ lɐu˥	一向，一直，向来，经常
不论	pɐt˥ lɵn˨	
不论如何	pɐt˥ lɵn˨ jy:˨˩ hɔ:˨˩	
不吝指正	pɐt˥ lɵn˨ tsi:˧˥ tsɪŋ˧	
不论怎样	pɐt˥ lɵn˨ tsɐm˧˥ jœ:ŋ˨	
不论怎么	pɐt˥ lɵn˨ tsɐm˧˥ mɔ:˥	
不吝赐教	pɐt˥ lɵn˨ tsʰi:˧ ka:u˧	
不伦不类	pɐt˥ lɵn˨˩ pɐt˥ lɵy˨	
不寐	pɐt˥ mei˨	
不免	pɐt˥ mi:n˩˧	
笔帽	pɐt˥ mou˨	
不务正业	pɐt˥ mou˨ tsɪŋ˧ ji:p˨	
不无	pɐt˥ mou˨˩	
不无可疑	pɐt˥ mou˨˩ hɔ:˧˥ ji:˨˩	
不无可疑之处	pɐt˥ mou˨˩ hɔ:˧˥ ji:˨˩ tsi:˥ tsʰy:˧	
笔墨	pɐt˥ mɐk˨	
不问	pɐt˥ mɐn˨	
不问是非曲直	pɐt˥ mɐn˨ si:˨ fei˥ kʰʊk˥ tsɪk˨	
不问前因后果	pɐt˥ mɐn˨ tsʰi:n˨˩ jɐn˥ hɐu˨ kwɔ:˧˥	
不问青红皂白	pɐt˥ mɐn˨ tsʰɪŋ˥ hʊŋ˨˩ tsou˨ pa:k˨	
不谋而合	pɐt˥ mɐu˩˧ ji:˨˩ hɐp˨	
毕命	pɐt˥ mɪŋ˨	
不明不白	pɐt˥ mɪŋ˨˩ pɐt˥ pa:k˨	
不奈烦	pɐt˥ nɔ:i˨ fa:n˨˩	
不卑不亢	pɐt˥ pei˥ pɐt˥ kʰɔ:ŋ˧	
不便	pɐt˥ pi:n˨	
不辩菽麦	pɐt˥ pi:n˨ sʊk˨ mɐk˨	
不必	pɐt˥ pi:t˥	
笔刨	pɐt˥ pʰa:u˧˥	铅笔刀，转笔刀，削铅笔器
不偏不倚	pɐt˥ pʰi:n˥ pɐt˥ ji:˧˥	
不平而鸣	pɐt˥ pʰɪŋ˨˩ ji:˨˩ mɪŋ˨˩	
不平则鸣	pɐt˥ pʰɪŋ˨˩ tsɐk˥ mɪŋ˨˩	
不平等条约	pɐt˥ pʰɪŋ˨˩ tɐŋ˧˥ tʰi:u˨˩ jœ:k˧	
不三不四	pɐt˥ sa:m˥ pɐt˥ sei˧	
不善	pɐt˥ si:n˨	
不善于	pɐt˥ si:n˨ jy:˥	
不屑	pɐt˥ si:t˧	
不屑一顾	pɐt˥ si:t˧ jɐt˥ ku:˧	
不时	pɐt˥ si:˨˩	不定时地，每时每刻，无时无刻，时时刻刻
不宣而战	pɐt˥ sy:n˥ ji:˨˩ tsi:n˧	
不伤和气	pɐt˥ sœ:ŋ˥ wɔ:˨˩ hei˧	
不慎	pɐt˥ sɐn˨	
不失	pɐt˥ sɐt˥	
不失良机	pɐt˥ sɐt˥ lœ:ŋ˨˩ kei˥	
不失众望	pɐt˥ sɐt˥ tsʊŋ˧ mɔ:ŋ˨	
不失为	pɐt˥ sɐt˥ wɐi˨˩	
不实	pɐt˥ sɐt˨	
不修边幅	pɐt˥ sɐu˥ pi:n˥ fʊk˥	
不锈钢	pɐt˥ sɐu˧ kɔ:ŋ˧	
不守信用	pɐt˥ sɐu˧˥ sɵn˧ jʊŋ˨	
不受欢迎	pɐt˥ sɐu˨ fu:n˥ jɪŋ˨˩	
毕生	pɐt˥ sɐŋ˥	
不惜	pɐt˥ sɪk˥	
不适	pɐt˥ sɪk˥	
不息	pɐt˥ sɪk˥	
不惜牺牲	pɐt˥ sɪk˥ hei˥ sa:ŋ˥	
不惜一战	pɐt˥ sɪk˥ jɐt˥ tsi:n˧	
不惜一切	pɐt˥ sɪk˥ jɐt˥ tsʰɐi˧	
不食人间烟火	pɐt˥ sɪk˨ jɐn˨˩ ka:n˥ ji:n˥ fɔ:˧˥	
不升反降	pɐt˥ sɪŋ˥ fa:n˧˥ kɔ:ŋ˧	
不胜负荷	pɐt˥ sɪŋ˥ fu:˧ hɔ:˨	
不胜感激	pɐt˥ sɪŋ˥ kɐm˧˥ kɪk˥	
不胜其烦	pɐt˥ sɪŋ˥ kʰei˨˩ fa:n˨˩	
不胜枚举	pɐt˥ sɪŋ˥ mu:i˨˩ kɵy˧˥	
不胜酒力	pɐt˥ sɪŋ˥ tsɐu˧˥ lɪk˨	
不成体统	pɐt˥ sɪŋ˨˩ tʰɐi˧˥ tʰʊŋ˧˥	
不逊	pɐt˥ sɵn˧	
[抔]水	pɐt˥ sɵy˧˥	舀水
不大不小	pɐt˥ ta:i˨ pɐt˥ si:u˧˥	
不单	pɐt˥ ta:n˥	
不打不相识	pɐt˥ ta:˧˥ pɐt˥ sœ:ŋ˥ sɪk˥	
不打自招	pɐt˥ ta:˧˥ tsi:˨ tsi:u˥	
不倒翁	pɐt˥ tou˧˥ jʊŋ˥	
不战而败	pɐt˥ tsi:n˧ ji:˨˩ pa:i˨	
不战而退	pɐt˥ tsi:n˧ ji:˨˩ tʰɵy˧	
不知几	pɐt˥ tsi:˥ kei˧˥	很，真，真的很
不知所云	pɐt˥ tsi:˥ sɔ:˧˥ wɐn˨˩	
不只	pɐt˥ tsi:˧˥	
不治	pɐt˥ tsi:˨	
不自量力	pɐt˥ tsi:˨ lœ:ŋ˨ lɪk˨	
不治之症	pɐt˥ tsi:˨ tsi:˥ tsɪŋ˧	
不绝于耳	pɐt˥ tsy:t˨ jy:˥ ji:˩˧	
不像样	pɐt˥ tsœ:ŋ˨ jœ:ŋ˨	
不像话	pɐt˥ tsœ:ŋ˨ wa:˧˥	
不再	pɐt˥ tsɔ:i˧	
不在乎	pɐt˥ tsɔ:i˨ fu:˨˩	
不在意	pɐt˥ tsɔ:i˨ ji:˧	
不在场	pɐt˥ tsɔ:i˨ tsʰœ:ŋ˨˩	
不在话下	pɐt˥ tsɔ:i˨ wa:˧˥ ha:˨	
不即不离	pɐt˥ tsɪk˥ pɐt˥ lei˨˩	
不值一顾	pɐt˥ tsɪk˨ jɐt˥ ku:˧	
不值一文	pɐt˥ tsɪk˨ jɐt˥ mɐn˨˩	
不值一提	pɐt˥ tsɪk˨ jɐt˥ tʰɐi˨˩	
不进则退	pɐt˥ tsɵn˧ tsɐk˥ tʰɵy˧	
笔嘴	pɐt˥ tsɵy˧˥	笔尖儿，钢笔尖儿
不足轻重	pɐt˥ tsʊk˥ hɪŋ˥ tsʰʊŋ˩˧	
不足挂齿	pɐt˥ tsʊk˥ kwa:˧ tsʰi:˧˥	
不足为训	pɐt˥ tsʊk˥ wɐi˨˩ fɐn˧	
不足为奇	pɐt˥ tsʊk˥ wɐi˨˩ kʰei˨˩	
不足为凭	pɐt˥ tsʊk˥ wɐi˨˩ pʰɐŋ˨˩	
不足为外人道	pɐt˥ tsʊk˥ wɐi˨˩ ŋɔ:i˨ jɐn˨˩ tou˨	
不中不西	pɐt˥ tsʊŋ˥ pɐt˥ sɐi˥	
不吵不闹	pɐt˥ tsʰa:u˧˥ pɐt˥ na:u˨	
不前不后	pɐt˥ tsʰi:n˨˩ pɐt˥ hɐu˨	
不切实际	pɐt˥ tsʰi:t˧ sɐt˨ tsɐi˧	
不切题	pɐt˥ tsʰi:t˧ tʰɐi˨˩	
不耻	pɐt˥ tsʰi:˧˥	
不耻下问	pɐt˥ tsʰi:˧˥ ha:˨ mɐn˨	
不详	pɐt˥ tsʰœ:ŋ˨˩	
不请自来	pɐt˥ tsʰɪŋ˧˥ tsi:˨ lɔ:i˨˩	
不出所料	pɐt˥ tsʰɵt˥ sɔ:˧˥ li:u˨	
不速之客	pɐt˥ tsʰʊk˥ tsi:˥ ha:k˧	
不得	pɐt˥ tɐk˥	
不得好死	pɐt˥ tɐk˥ hou˧˥ sei˧˥	
不得要领	pɐt˥ tɐk˥ ji:u˧ lɪŋ˩˧	
不得而知	pɐt˥ tɐk˥ ji:˨˩ tsi:˥	
不得已	pɐt˥ tɐk˥ ji:˩˧	
不得人心	pɐt˥ tɐk˥ jɐn˨˩ sɐm˥	
不得其法	pɐt˥ tɐk˥ kʰei˨˩ fa:t˧	
不得其解	pɐt˥ tɐk˥ kʰei˨˩ ka:i˧˥	
不得了	pɐt˥ tɐk˥ li:u˩˧	
不得不	pɐt˥ tɐk˥ pɐt˥	
不特	pɐt˥ tɐk˨	不但，不仅，不光
不当	pɐt˥ tɔ:ŋ˧	
不定	pɐt˥ tɪŋ˨	
不定形	pɐt˥ tɪŋ˨ jɪŋ˨˩	
不定冠词	pɐt˥ tɪŋ˨ ku:n˧ tsʰi:˨˩	
不定根	pɐt˥ tɪŋ˨ kɐn˥	
不定期	pɐt˥ tɪŋ˨ kʰei˨˩	
不定量	pɐt˥ tɪŋ˨ lœ:ŋ˨	
不定词	pɐt˥ tɪŋ˨ tsʰi:˨˩	
不对劲	pɐt˥ tɵy˧ kɪŋ˨	
不冻港	pɐt˥ tʊŋ˧ kɔ:ŋ˧˥	
不动声色	pɐt˥ tʊŋ˨ sɪŋ˥ sɪk˥	
不动产	pɐt˥ tʊŋ˨ tsʰa:n˧˥	
笔塔	pɐt˥ tʰa:p˧	笔帽，笔套
不吐不快	pɐt˥ tʰou˧ pɐt˥ fa:i˧	
不透明	pɐt˥ tʰɐu˧ mɪŋ˨˩	
[抔]汤	pɐt˥ tʰɔ:ŋ˥	舀汤
不妥	pɐt˥ tʰɔ:˧˥	
不停	pɐt˥ tʰɪŋ˨˩	
不同凡响	pɐt˥ tʰʊŋ˨˩ fa:n˨˩ hœ:ŋ˧˥	
不同以往	pɐt˥ tʰʊŋ˨˩ ji:˩˧ wɔ:ŋ˩˧	
不同点	pɐt˥ tʰʊŋ˨˩ ti:m˧˥	
不怀好意	pɐt˥ wa:i˨˩ hou˧˥ ji:˧	
不惑之年	pɐt˥ wa:k˨ tsi:˥ ni:n˨˩	
笔画	pɐt˥ wa:˧˥	
不遗余力	pɐt˥ wɐi˨˩ jy:˨˩ lɪk˨	
不屈不挠	pɐt˥ wɐt˥ pɐt˥ na:u˨˩	
不遑	pɐt˥ wɔ:ŋ˨˩	
不和	pɐt˥ wɔ:˨˩	
不外乎	pɐt˥ ŋɔ:i˨ fu:˨˩	
不谙	pɐt˥ ɐm˥	
不安本分	pɐt˥ ɔ:n˥ pu:n˧˥ fɐn˥	
拔河	pɐt˨ hɔ:˨˩	
拔河比赛	pɐt˨ hɔ:˨˩ pei˧˥ tsʰɔ:i˧	
拔剑	pɐt˨ ki:m˧	
拔脚	pɐt˨ kœ:k˧	
拔腿就跑	pɐt˨ kœ:k˧ tsɐu˨ pʰa:u˧˥	
拔群	pɐt˨ kʰwɐn˨˩	
拔苗助长	pɐt˨ mi:u˨˩ tsɔ:˨ tsœ:ŋ˧˥	
拔毛	pɐt˨ mou˨˩	
拔锚	pɐt˨ na:u˨˩	
跋涉	pɐt˨ si:p˧	
拔身	pɐt˨ sɐn˥	
拔地而起	pɐt˨ tei˨ ji:˨˩ hei˧˥	
拔刀	pɐt˨ tou˥	
拔刀相助	pɐt˨ tou˥ sœ:ŋ˥ tsɔ:˨	
拔擢	pɐt˨ tsɔ:k˨	
拔草	pɐt˨ tsʰou˧˥	
拔出	pɐt˨ tsʰɵt˥	
拔除	pɐt˨ tsʰɵy˨˩	
拔腿	pɐt˨ tʰɵy˧˥	
跋扈	pɐt˨ wu:˨	
拔牙	pɐt˨ ŋa:˨˩	
崩	pɐŋ˥	分钱
崩	pɐŋ˥	破，缺
崩口	pɐŋ˥ hɐu˧˥	豁嘴，兔唇
崩口人忌崩口碗	pɐŋ˥ hɐu˧˥ jɐn˨˩ kei˨ pɐŋ˥ hɐu˧˥ wu:n˧˥	当着矮子别说短话
崩口碗	pɐŋ˥ hɐu˧˥ wu:n˧˥	缺口碗
崩溃	pɐŋ˥ kʰu:i˧˥	
崩仔	pɐŋ˥ tsɐi˧˥	朋克，庞克
崩装	pɐŋ˥ tsɔ:ŋ˥	莫西干头
崩牙	pɐŋ˥ ŋa:˨˩	缺齿，缺牙
崩牙	pɐŋ˥ ŋa:˨˩	缺齿
犦	pɔ:k˥	敲，打，敲打
扑嘢	pɔ:k˥ jɛ:˩˧	性交，做爱
犦落去	pɔ:k˥ lɔ:k˨ hɵy˧	砸下去，打下去
犦落嚟	pɔ:k˥ lɔ:k˨ lei˨˩	砸下来，打下来
犦犦斋	pɔ:k˥ pɔ:k˥ tsa:i˥	私塾
犦湿	pɔ:k˥ sɐp˥	揍扁，狠揍，揍瘪，殴伤，狠揍一顿
犦亲	pɔ:k˥ tsʰɐn˥	砸伤，打伤
膊	pɔ:k˧	肩
搏	pɔ:k˧	拼，拼搏，拼命，冒险
坣	pɔ:k˧	垅，土埂，堤坝
搏拊	pɔ:k˧ fu:˧˥	
博客	pɔ:k˧ ha:k˧	
搏吓彩	pɔ:k˧ ha:˩˧ tsʰɔ:i˧˥	碰碰运气，赌一赌运气
博学	pɔ:k˧ hɔ:k˨	
博学多闻	pɔ:k˧ hɔ:k˨ tɔ:˥ mɐn˨˩	
博学多能	pɔ:k˧ hɔ:k˨ tɔ:˥ nɐŋ˨˩	
搏一铺	pɔ:k˧ jɐt˥ pʰou˥	试一下运气如何
博奕	pɔ:k˧ jɪk˨	
博弈	pɔ:k˧ jɪk˨	
博古通今	pɔ:k˧ ku:˧˥ tʰʊŋ˥ kɐm˥	
驳骨	pɔ:k˧ kwɐt˥	接骨
驳脚	pɔ:k˧ kœ:k˧	经纪
搏击	pɔ:k˧ kɪk˥	
博览会	pɔ:k˧ la:m˩˧ wu:i˧˥	
搏老命	pɔ:k˧ lou˩˧ mɛ:ŋ˨	拼命，卖命，拼老命
搏乱	pɔ:k˧ ly:n˨	钻空子，混水摸鱼，趁火打劫，乘机捞一把
博闻	pɔ:k˧ mɐn˨˩	
博闻强记	pɔ:k˧ mɐn˨˩ kʰœ:ŋ˨˩ kei˧	
博物院	pɔ:k˧ mɐt˨	
博物馆	pɔ:k˧ mɐt˨ ku:n˧˥	
搏命	pɔ:k˧ mɛ:ŋ˨	拼命
搏命噉走	pɔ:k˧ mɛ:ŋ˨ kɐm˧˥ tsɐu˧˥	拼命地跑
搏懵	pɔ:k˧ mʊŋ˧˥	揩油
搏晒老命	pɔ:k˧ sa:i˧ lou˩˧ mɛ:ŋ˨	拼上老命，拼了老命，竭尽全力
搏晒老命噉	pɔ:k˧ sa:i˧ lou˩˧ mɛ:ŋ˨ kɐm˧˥	拼命地，竭力地，竭尽全力
搏晒命	pɔ:k˧ sa:i˧ mɛ:ŋ˨	卖命，拼命，拼老命
驳线	pɔ:k˧ si:n˧	接线
博施济众	pɔ:k˧ si:˥ tsɐi˧ tsʊŋ˧	
博士	pɔ:k˧ si:˨	
博士后	pɔ:k˧ si:˨ hɐu˨	
博士学位	pɔ:k˧ si:˨ hɔ:k˨ wɐi˨	
博士班	pɔ:k˧ si:˨ pa:n˥	
搏手	pɔ:k˧ sɐu˧˥	交手打架
搏傻	pɔ:k˧ sɔ:˨˩	装疯扮傻，假装糊涂
博大	pɔ:k˧ ta:i˨	
搏大胆	pɔ:k˧ ta:i˨ ta:m˧˥	赌胆量，赌胆识，赌一下胆识
博大精深	pɔ:k˧ ta:i˨ tsɪŋ˥ sɐm˥	
搏到尽	pɔ:k˧ tou˧ tsɵn˨	尽全力，拼搏到底，竭尽全力，拼尽全力，倾尽全力
搏尽	pɔ:k˧ tsɵn˨	尽全力，竭尽全力拼搏
驳嘴	pɔ:k˧ tsɵy˧˥	顶嘴
搏彩	pɔ:k˧ tsʰɔ:i˧˥	碰运气
驳斥	pɔ:k˧ tsʰɪk˥	
搏出位	pɔ:k˧ tsʰɵt˥ wɐi˧˥	争着出人头地，标新立异
博取	pɔ:k˧ tsʰɵy˧˥	
博得	pɔ:k˧ tɐk˥	
搏斗	pɔ:k˧ tɐu˧	
膊头	pɔ:k˧ tʰɐu˨˩	肩膀
驳回	pɔ:k˧ wu:i˨˩	
博雅	pɔ:k˧ ŋa:˩˧	
博鳌论坛	pɔ:k˧ ŋou˨˩ lɵn˨ tʰa:n˨˩	
博爱	pɔ:k˧ ɔ:i˧	
薄荷	pɔ:k˨ hɔ:˨˩	
薄荷油	pɔ:k˨ hɔ:˨˩ jɐu˨˩	
薄荷脑	pɔ:k˨ hɔ:˨˩ nou˩˧	
薄荷糖	pɔ:k˨ hɔ:˨˩ tʰɔ:ŋ˨˩	
薄弱	pɔ:k˨ jœ:k˨	
薄利多销	pɔ:k˨ lei˨ tɔ:˥ si:u˥	
舶来品	pɔ:k˨ lɔ:i˨˩ pɐn˧˥	
薄饼	pɔ:k˨ pɛ:ŋ˧˥	
薄罉	pɔ:k˨ tsʰa:ŋ˥	糯米面烙饼，薄饼，烙饼
帮闲	pɔ:ŋ˥ ha:n˨˩	
帮腔	pɔ:ŋ˥ hɔ:ŋ˥	
帮凶	pɔ:ŋ˥ hʊŋ˥	
邦国	pɔ:ŋ˥ kwɔ:k˧	
帮忙	pɔ:ŋ˥ mɔ:ŋ˨˩	
帮唔到	pɔ:ŋ˥ m̩˨˩ tou˧˥	帮不了
帮唔到手	pɔ:ŋ˥ m̩˨˩ tou˧˥ sɐu˧˥	帮不上忙
帮派	pɔ:ŋ˥ pʰa:i˧	
帮手	pɔ:ŋ˥ sɐu˧˥	
帮手	pɔ:ŋ˥ sɐu˧˥	帮忙
帮倒忙	pɔ:ŋ˥ tou˧ mɔ:ŋ˨˩	
梆子	pɔ:ŋ˥ tsi:˧˥	
梆子腔	pɔ:ŋ˥ tsi:˧˥ hɔ:ŋ˥	
帮助	pɔ:ŋ˥ tsɔ:˨	
帮衬	pɔ:ŋ˥ tsʰɐn˧	光顾
帮会	pɔ:ŋ˥ wu:i˨	
绑鞋带	pɔ:ŋ˧˥ ha:i˨˩ ta:i˧	系鞋带
榜样	pɔ:ŋ˧˥ jœ:ŋ˨	
绑架	pɔ:ŋ˧˥ ka:˧	
绑架犯	pɔ:ŋ˧˥ ka:˧ fa:n˧˥	
绑个缬	pɔ:ŋ˧˥ kɔ:˧ li:t˧	打一个结
绑缬	pɔ:ŋ˧˥ li:t˧	打结
榜上有名	pɔ:ŋ˧˥ sœ:ŋ˨ jɐu˩˧ mɪŋ˨˩	
傍	pɔ:ŋ˨	依靠，陪伴，护着，紧靠着，不离开，看守着
傍家	pɔ:ŋ˨ ka:˥	恋家，顾家，在家
傍晚	pɔ:ŋ˨ ma:n˩˧	
磅秤	pɔ:ŋ˨ tsʰɪŋ˧	
磅	pɔ:ŋ˨˩	给
磅水	pɔ:ŋ˨˩ sɵy˧˥	给钱，交钱，付钱
波	pɔ:˥	排档，档
波	pɔ:˥	球
波	pɔ:˥	奶，乳房
波飞	pɔ:˥ fei˥	球票，球赛的票
波裤	pɔ:˥ fu:˧	球裤，运动裤
波鞋	pɔ:˥ ha:i˨˩	球鞋，运动鞋
波澜	pɔ:˥ la:n˨˩	
波罅	pɔ:˥ la:˧	乳沟
玻璃	pɔ:˥ lei˥	
玻璃杯	pɔ:˥ lei˥ pu:i˥	
玻璃试管	pɔ:˥ lei˥ si:˧ ku:n˧˥	
玻璃樽	pɔ:˥ lei˥ tsɵn˥	玻璃瓶
玻璃纤维	pɔ:˥ lei˥ tsʰi:m˥ wɐi˨˩	
玻璃窗	pɔ:˥ lei˥ tsʰœ:ŋ˥	
波路	pɔ:˥ lou˨	底细，情况，来头
波浪	pɔ:˥ lɔ:ŋ˨	
菠萝	pɔ:˥ lɔ:˨˩	凤梨
菠萝油	pɔ:˥ lɔ:˨˩ jɐu˨˩	波罗包加牛油
菠萝盖	pɔ:˥ lɔ:˨˩ kɔ:i˧	膝盖骨
菠萝包	pɔ:˥ lɔ:˨˩ pa:u˥	波罗包
波帽	pɔ:˥ mou˧˥	鸭舌帽
波板	pɔ:˥ pa:n˧˥	球拍，球拍子，乒乓球拍
波钵	pɔ:˥ pu:t˧	球鞋，运动鞋
波衫	pɔ:˥ sa:m˥	球衣，运动衣
波士	pɔ:˥ si:˧˥	老板，总经理，大老板，上司
波恤	pɔ:˥ sɵt˥	球衣，绒衣，运动衣，卫生衣，长袖运动服
波子	pɔ:˥ tsi:˧˥	玻璃球，弹球，滚珠
波子棋	pɔ:˥ tsi:˧˥ kʰei˨˩	跳棋
波珠	pɔ:˥ tsy:˥	滚珠，弹球，玻璃球
波场	pɔ:˥ tsʰœ:ŋ˨˩	球场
菠菜	pɔ:˥ tsʰɔ:i˧	
波涛	pɔ:˥ tʰou˨˩	
噃	pɔ:˧	喔，呢
播放	pɔ:˧ fɔ:ŋ˧	
播映	pɔ:˧ jɪŋ˧˥	
簸箕	pɔ:˧ kei˥	
播出	pɔ:˧ tsʰɵt˥	
柄	pɛ:ŋ˧	藏，收藏
饼印	pɛ:ŋ˧˥ jɐn˧	饼模子
饼干	pɛ:ŋ˧˥ kɔ:n˥	苏打饼
饼干	pɛ:ŋ˧˥ kɔ:n˥	
饼干盒	pɛ:ŋ˧˥ kɔ:n˥ hɐp˨	
饼干店	pɛ:ŋ˧˥ kɔ:n˥ ti:m˧	
饼咭	pɛ:ŋ˧˥ kʰɐt˥	饼券
饼屑	pɛ:ŋ˧˥ si:t˧	
饼师	pɛ:ŋ˧˥ si:˥	面包师傅
饼仔	pɛ:ŋ˧˥ tsɐi˧˥	饼干
病恹恹	pɛ:ŋ˨ ji:m˥ ji:m˥	
病源	pɛ:ŋ˨ jy:n˨˩	
病癒	pɛ:ŋ˨ jy:˨	
病人	pɛ:ŋ˨ jɐn˨˩	
病君	pɛ:ŋ˨ kwɐn˥	老病号，病夫
病例	pɛ:ŋ˨ lɐi˨	
病历	pɛ:ŋ˨ lɪk˨	
病到声沙	pɛ:ŋ˨ tou˧ sɛ:ŋ˥ sa:˥	病得声音沙哑了
病咗	pɛ:ŋ˨ tsɔ:˧˥	生病，病了，生病了
病毒	pɛ:ŋ˨ tʊk˨	
啤梨	pɛ:˥ lei˧˥	洋梨，西洋梨，澳洲梨
啤令	pɛ:˥ lɪŋ˧˥	滚珠轴承轴承
啤酒	pɛ:˥ tsɐu˧˥	
啤酒肚	pɛ:˥ tsɐu˧˥ tʰou˩˧	大肚子
逼	pɪk˥	挤，拥挤
壁虎	pɪk˥ fu:˧˥	
